sa2_code,sa2_name,dhb,pop_cnt,dose1_cnt,dose2_cnt,dose1_uptake,dose2_uptake
120100,Birdwood West,Waitemata,44,35,29, 795 , 659 
120200,Hobsonville Point,Waitemata,150,Masked,135, >950 , 900 
120300,West Harbour Clearwater Cove,Waitemata,150,142,128, 947 , 853 
120400,Unsworth Heights East,Waitemata,108,Masked,93, >950 , 861 
120600,Massey Central,Waitemata,660,591,519, 895 , 786 
120700,West Harbour Luckens Point,Waitemata,87,79,65, 908 , 747 
120900,Massey Royal Road West,Waitemata,439,Masked,382, >950 , 870 
121000,Bayview East,Waitemata,166,Masked,142, >950 , 855 
121100,Swanson Rural,Waitemata,68,Masked,61, >950 , 897 
121200,Sunnynook South,Waitemata,81,Masked,72, >950 , 889 
121300,Sunnynook North,Waitemata,45,41,37, 911 , 822 
121400,Bayview West,Waitemata,90,Masked,83, >950 , 922 
121500,Totara Vale North,Waitemata,102,92,86, 902 , 843 
121600,Royal Heights North,Waitemata,485,411,369, 847 , 761 
121700,Massey West,Waitemata,213,183,156, 859 , 732 
121800,Beach Haven West,Waitemata,146,Masked,Masked, >950 , >950 
121900,Totara Vale South,Waitemata,162,150,132, 926 , 815 
122000,Swanson,Waitemata,226,213,193, 942 , 854 
122100,Bayview South,Waitemata,119,104,100, 874 , 840 
122300,Royal Heights South,Waitemata,646,576,513, 892 , 794 
122400,Beach Haven East,Waitemata,524,453,410, 865 , 782 
122500,Massey East,Waitemata,843,745,623, 884 , 739 
122700,Glenfield North,Waitemata,130,118,114, 908 , 877 
122800,Birkdale North,Waitemata,332,312,283, 940 , 852 
122900,Massey South,Waitemata,804,715,638, 889 , 794 
123000,Ranui North,Waitemata,982,873,772, 889 , 786 
123100,Glenfield West,Waitemata,108,Masked,95, >950 , 880 
123200,Te Atatu Peninsula North West,Waitemata,275,231,208, 840 , 756 
123300,Glenfield South West,Waitemata,165,150,143, 909 , 867 
123400,Forrest Hill West,Waitemata,97,86,71, 887 , 732 
123600,Forrest Hill East,Waitemata,67,Masked,60, >950 , 896 
123800,Ranui Domain,Waitemata,668,588,502, 880 , 751 
123900,Beach Haven South,Waitemata,79,73,65, 924 , 823 
124000,Glenfield Central,Waitemata,92,Masked,77, >950 , 837 
124200,Ranui South West,Waitemata,463,422,383, 911 , 827 
124300,Henderson Larnoch,Waitemata,914,811,708, 887 , 775 
124400,Birkdale South,Waitemata,300,275,253, 917 , 843 
124500,Te Atatu Peninsula Central,Waitemata,421,373,328, 886 , 779 
124600,Glenfield East,Waitemata,77,Masked,70, >950 , 909 
124700,Henderson Valley,Waitemata,50,Masked,44, >950 , 880 
124800,Te Atatu Peninsula West,Waitemata,420,391,335, 931 , 798 
124900,Henderson Lincoln West,Waitemata,587,521,477, 888 , 813 
125000,Ranui South East,Waitemata,438,402,362, 918 , 826 
125200,Birkenhead West,Waitemata,80,75,71, 938 , 888 
125300,Te Atatu Peninsula East,Waitemata,231,205,183, 887 , 792 
125400,Milford West,Waitemata,40,36,33, 900 , 825 
125600,Hillcrest North (Auckland),Waitemata,77,69,67, 896 , 870 
125700,Henderson Lincoln South,Waitemata,357,308,285, 863 , 798 
125800,Hillcrest West (Auckland),Waitemata,55,48,43, 873 , 782 
126000,Summerland South,Waitemata,278,239,220, 860 , 791 
126100,Summerland North,Waitemata,174,Masked,157, >950 , 902 
126200,Hillcrest East (Auckland),Waitemata,83,Masked,Masked, >950 , >950 
126300,Chatswood,Waitemata,60,57,55, 950 , 917 
126400,Te Atatu South-Edmonton,Waitemata,584,497,454, 851 , 777 
126500,Birkenhead North,Waitemata,62,51,48, 823 , 774 
126600,Takapuna West,Waitemata,75,68,63, 907 , 840 
126700,Henderson North,Waitemata,584,516,461, 884 , 789 
126900,Western Heights (Auckland),Waitemata,437,409,375, 936 , 858 
127000,Te Atatu South-Central,Waitemata,532,475,435, 893 , 818 
127100,Northcote Central (Auckland),Waitemata,215,192,168, 893 , 781 
127200,Akoranga,Waitemata,85,74,63, 871 , 741 
127300,Northcote South (Auckland),Waitemata,59,Masked,Masked, >950 , >950 
127500,Henderson Central,Waitemata,140,124,110, 886 , 786 
127600,Waiatarua,Waitemata,66,Masked,56, >950 , 848 
127700,Te Atatu South-McLeod North,Waitemata,485,437,393, 901 , 810 
127800,Henderson Valley Park,Waitemata,560,523,466, 934 , 832 
127900,Henderson North East,Waitemata,372,310,280, 833 , 753 
128100,Northcote Tuff Crater,Waitemata,59,Masked,54, >950 , 915 
128200,Northcote Point (Auckland),Waitemata,66,Masked,60, >950 , 909 
128300,McLaren Park,Waitemata,1073,905,811, 843 , 756 
128400,Henderson East,Waitemata,474,421,375, 888 , 791 
128500,Te Atatu South-McLeod South,Waitemata,552,504,454, 913 , 822 
128800,Hauraki,Waitemata,49,Masked,45, >950 , 918 
128900,Glendene North,Waitemata,986,878,785, 890 , 796 
129000,Sunnyvale West-Parrs Park,Waitemata,625,549,490, 878 , 784 
129100,Sunnyvale East,Waitemata,752,648,577, 862 , 767 
129200,Point Chevalier West,Auckland,183,164,149, 896 , 814 
129300,Belmont (Auckland),Waitemata,72,55,50, 764 , 694 
129400,Bayswater,Waitemata,105,91,86, 867 , 819 
129500,Glendene South,Waitemata,677,608,555, 898 , 820 
129600,Glen Eden West,Waitemata,701,627,555, 894 , 792 
129800,Westmere North,Auckland,81,Masked,Masked, >950 , >950 
129900,Point Chevalier East,Auckland,309,275,249, 890 , 806 
130000,Oratia,Waitemata,55,52,47, 945 , 855 
130100,Glen Eden Rosier,Waitemata,577,523,473, 906 , 820 
130200,Saint Marys Bay,Auckland,51,44,41, 863 , 804 
130300,Westmere South-Western Springs,Auckland,146,Masked,130, >950 , 890 
130400,Ponsonby West,Auckland,149,130,124, 872 , 832 
130500,Kelston North,Waitemata,787,686,620, 872 , 788 
130600,Avondale Rosebank ,Auckland,1166,1015,923, 870 , 792 
130700,Narrow Neck,Waitemata,53,46,46, 868 , 868 
130800,Glen Eden North,Waitemata,469,435,391, 928 , 834 
130900,Glen Eden Woodglen,Waitemata,624,564,499, 904 , 800 
131000,Kelston South,Waitemata,668,588,514, 880 , 769 
131100,Waterview,Auckland,577,526,468, 912 , 811 
131200,Ponsonby East,Auckland,179,166,155, 927 , 866 
131500,Glen Eden Central,Waitemata,311,276,251, 887 , 807 
131600,Grey Lynn North,Auckland,245,216,202, 882 , 824 
131700,Avondale West (Auckland),Auckland,1063,935,829, 880 , 780 
131800,Freemans Bay,Auckland,178,144,129, 809 , 725 
131900,Mount Albert West,Auckland,247,203,175, 822 , 709 
132000,Avondale North (Auckland),Auckland,591,496,439, 839 , 743 
132100,Grey Lynn West,Auckland,364,331,309, 909 , 849 
132200,Mount Albert North,Auckland,298,267,238, 896 , 799 
132300,New Lynn North,Waitemata,517,458,409, 886 , 791 
132400,Victoria Park ,Auckland,72,66,58, 917 , 806 
132500,Konini,Waitemata,176,142,131, 807 , 744 
132600,New Lynn North West,Waitemata,404,357,323, 884 , 800 
132700,Hobson Ridge North,Auckland,91,83,69, 912 , 758 
132800,Grey Lynn Central,Auckland,352,325,301, 923 , 855 
132900,Fruitvale,Waitemata,317,282,258, 890 , 814 
133000,Devonport,Waitemata,44,36,36, 818 , 818 
133100,Avondale Central (Auckland),Auckland,436,406,364, 931 , 835 
133200,Queen Street,Auckland,61,46,44, 754 , 721 
133300,Quay Street-Customs Street,Auckland,84,75,67, 893 , 798 
133400,Hobson Ridge Central,Auckland,108,Masked,91, >950 , 843 
133500,Grey Lynn East,Auckland,130,123,114, 946 , 877 
133600,Morningside (Auckland),Auckland,330,292,270, 885 , 818 
133800,Hobson Ridge South,Auckland,48,40,34, 833 , 708 
133900,New Lynn Central,Waitemata,44,39,36, 886 , 818 
134100,Queen Street South West,Auckland,64,52,42, 813 , 656 
134200,Mount Albert Central,Auckland,191,170,159, 890 , 832 
134300,Karangahape,Auckland,108,93,83, 861 , 769 
134400,Kingsland,Auckland,333,306,279, 919 , 838 
134500,Anzac Avenue,Auckland,77,63,58, 818 , 753 
134600,Waima-Woodlands Park,Waitemata,55,51,47, 927 , 855 
134700,Kaurilands,Waitemata,112,102,95, 911 , 848 
134900,New Lynn Seabrook,Waitemata,359,305,262, 850 , 730 
135000,Avondale South (Auckland),Auckland,712,647,588, 909 , 826 
135100,Symonds Street North West,Auckland,87,79,66, 908 , 759 
135200,Mount Albert South,Auckland,104,87,83, 837 , 798 
135300,Symonds Street West,Auckland,105,Masked,93, >950 , 886 
135400,West Lynn,Waitemata,198,169,156, 854 , 788 
135500,Owairaka West,Auckland,327,283,255, 865 , 780 
135600,New Lynn Central South,Waitemata,373,348,300, 933 , 804 
135700,The Strand,Auckland,69,58,57, 841 , 826 
135800,St Lukes,Auckland,157,126,118, 803 , 752 
135900,Symonds Street East,Auckland,115,92,79, 800 , 687 
136000,Eden Terrace,Auckland,165,149,136, 903 , 824 
136100,Grafton,Auckland,56,53,51, 946 , 911 
136200,Eden Park,Auckland,117,104,91, 889 , 778 
136300,Sandringham North,Auckland,272,237,218, 871 , 801 
136400,Parnell West,Auckland,84,78,67, 929 , 798 
136500,New Lynn South,Waitemata,490,450,403, 918 , 822 
136600,New Windsor North,Auckland,460,408,369, 887 , 802 
136700,Titirangi South,Waitemata,91,Masked,83, >950 , 912 
136800,Owairaka East,Auckland,254,213,198, 839 , 780 
136900,Eden Valley,Auckland,69,62,53, 899 , 768 
137000,Sandringham Central,Auckland,240,201,182, 838 , 758 
137100,Glenavon,Auckland,709,600,524, 846 , 739 
137200,Blockhouse Bay North,Auckland,441,375,336, 850 , 762 
137300,Green Bay North,Waitemata,144,Masked,131, >950 , 910 
137400,Parnell East,Auckland,71,64,62, 901 , 873 
137600,Sandringham West,Auckland,192,171,155, 891 , 807 
137700,Mount Eden North East,Auckland,57,47,38, 825 , 667 
137800,Mount Eden North,Auckland,101,84,81, 832 , 802 
137900,Wesley West,Auckland,1076,920,818, 855 , 760 
138000,Green Bay South,Waitemata,139,130,121, 935 , 871 
138100,Balmoral,Auckland,200,178,162, 890 , 810 
138200,Sandringham East,Auckland,308,272,250, 883 , 812 
138300,New Windsor South,Auckland,637,546,497, 857 , 780 
138400,Mount Eden West,Auckland,111,98,93, 883 , 838 
138500,Newmarket,Auckland,58,Masked,Masked, >950 , >950 
138600,Blockhouse Bay North East,Auckland,251,Masked,216, >950 , 861 
138700,Epsom North,Auckland,110,87,84, 791 , 764 
138900,Blockhouse Bay South,Auckland,269,233,219, 866 , 814 
139000,Mount Eden East,Auckland,71,64,56, 901 , 789 
139100,Wesley East,Auckland,612,534,472, 873 , 771 
139200,Orakei West,Auckland,58,Masked,55, >950 , 948 
139300,Maungawhau,Auckland,94,Masked,89, >950 , 947 
139400,Remuera West,Auckland,63,47,44, 746 , 698 
139500,Blockhouse Bay East,Auckland,140,131,125, 936 , 893 
139600,Lynfield North,Auckland,182,161,142, 885 , 780 
139700,Mount Roskill North,Auckland,342,275,247, 804 , 722 
139800,Mount Roskill White Swan,Auckland,531,434,390, 817 , 734 
139900,Mount Eden South,Auckland,81,71,66, 877 , 815 
140000,Remuera Waitaramoa,Auckland,44,Masked,40, >950 , 909 
140100,Orakei East,Auckland,100,88,77, 880 , 770 
140200,Epsom Central-North,Auckland,64,Masked,57, >950 , 891 
140300,Mount St John,Auckland,124,101,95, 815 , 766 
140400,Mount Roskill Central North,Auckland,436,370,336, 849 , 771 
140500,Remuera North,Auckland,41,Masked,37, >950 , 902 
140600,Three Kings West,Auckland,421,369,334, 876 , 793 
140700,Mount Roskill Central South,Auckland,521,447,391, 858 , 750 
140800,Epsom Central-South,Auckland,102,91,86, 892 , 843 
140900,Lynfield South,Auckland,267,249,232, 933 , 869 
141000,Remuera South,Auckland,102,96,91, 941 , 892 
141100,Mission Bay,Auckland,55,Masked,50, >950 , 909 
141200,Three Kings East,Auckland,68,55,53, 809 , 779 
141300,Mount Roskill South,Auckland,185,163,149, 881 , 805 
