SA22023_CODE,SA22023,Type,SA22018_CODE,SA22018
138100,Balmoral,Simple Map,138100,Balmoral
138200,Sandringham East,Simple Map,138200,Sandringham East
138301,New Windsor South,Many To One Map,138300,New Windsor South
138302,New Windsor East,Many To One Map,138300,New Windsor South
138400,Mount Eden West,Simple Map,138400,Mount Eden West
138501,Newmarket,Many To Many Map,138500,Newmarket
138501,Newmarket,Many To Many Map,137700,Mount Eden North East
138502,Newmarket Park,Many To Many Map,138500,Newmarket
138600,Blockhouse Bay North East,Simple Map,138600,Blockhouse Bay North East
138700,Epsom North,Simple Map,138700,Epsom North
138800,Wesley South,Simple Map,138800,Wesley South
138901,Blockhouse Bay South,Many To Many Map,138900,Blockhouse Bay South
139000,Mount Eden East,Simple Map,139000,Mount Eden East
139100,Wesley East,Simple Map,139100,Wesley East
139201,Orakei West,Many To Many Map,119300,Inlet Waitemata Harbour
139201,Orakei West,Many To Many Map,139200,Orakei West
139300,Maungawhau,Simple Map,139300,Maungawhau
139400,Remuera West,Simple Map,139400,Remuera West
139501,Blockhouse Bay East,Many To Many Map,139500,Blockhouse Bay East
139601,Mount Roskill West,Simple Map,139600,Lynfield North
139700,Mount Roskill North,Simple Map,139700,Mount Roskill North
139801,Mount Roskill White Swan,Many To One Map,139800,Mount Roskill White Swan
139802,Mount Roskill Nirvana,Many To One Map,139800,Mount Roskill White Swan
139900,Mount Eden South,Simple Map,139900,Mount Eden South
140000,Remuera Waitaramoa,Simple Map,140000,Remuera Waitaramoa
140100,Orakei East,Simple Map,140100,Orakei East
140200,Epsom Central-North,Simple Map,140200,Epsom Central-North
140300,Mount St John,Simple Map,140300,Mount St John
140400,Mount Roskill Central North,Simple Map,140400,Mount Roskill Central North
140500,Remuera North,Simple Map,140500,Remuera North
140601,Mount Roskill North East,Simple Map,140600,Three Kings West
140700,Mount Roskill Central South,Simple Map,140700,Mount Roskill Central South
140800,Epsom Central-South,Simple Map,140800,Epsom Central-South
140901,Lynfield Central,Many To One Map,140900,Lynfield South
140902,Lynfield Harbour View,Many To One Map,140900,Lynfield South
141000,Remuera South,Simple Map,141000,Remuera South
141101,Mission Bay,Many To One Map,141100,Mission Bay
141102,Mission Bay Eastridge,Many To One Map,141100,Mission Bay
141201,Three Kings North,Simple Map,141200,Three Kings East
141300,Mount Roskill South,Simple Map,141300,Mount Roskill South
141400,Inlet Manukau Harbour,Simple Map,141400,Inlet Manukau Harbour
141500,Epsom East,Simple Map,141500,Epsom East
141600,Remuera Waiata,Simple Map,141600,Remuera Waiata
141700,Epsom South,Simple Map,141700,Epsom South
141801,Kohimarama Bay,Many To One Map,141800,Kohimarama
141802,Kohimarama Stadium,Many To One Map,141800,Kohimarama
141900,Meadowbank West,Simple Map,141900,Meadowbank West
142001,Three Kings South,Many To Many Map,142000,Hillsborough North (Auckland)
142002,Hillsborough North (Auckland),Many To Many Map,142000,Hillsborough North (Auckland)
142002,Hillsborough North (Auckland),Many To Many Map,144100,Onehunga West
142101,Mount Roskill Central East,Simple Map,142100,Hillsborough West (Auckland)
142201,Greenlane North,Many To One Map,142200,Greenlane North
142202,Greenlane Central,Many To One Map,142200,Greenlane North
142301,Mount Roskill South East,Simple Map,142300,Waikowhai North
142400,Remuera East,Simple Map,142400,Remuera East
142501,Waikowhai Bay,Simple Map,142500,Waikowhai South
142600,Royal Oak West (Auckland),Simple Map,142600,Royal Oak West (Auckland)
142700,Saint Heliers West,Simple Map,142700,Saint Heliers West
142801,One Tree Hill Oranga,Many To One Map,142800,One Tree Hill
142802,One Tree Hill Amaru,Many To One Map,142800,One Tree Hill
142901,Hillsborough Central (Auckland),Simple Map,142900,Hillsborough East (Auckland)
143000,Saint Heliers North,Simple Map,143000,Saint Heliers North
143100,Remuera Abbotts Park,Simple Map,143100,Remuera Abbotts Park
143200,Meadowbank East,Simple Map,143200,Meadowbank East
143301,Ellerslie Central,Many To Many Map,143300,Ellerslie Central
143301,Ellerslie Central,Many To Many Map,144200,Ellerslie West
143400,Royal Oak East (Auckland),Simple Map,143400,Royal Oak East (Auckland)
143500,Saint Heliers South,Simple Map,143500,Saint Heliers South
143600,Hillsborough South (Auckland),Simple Map,143600,Hillsborough South (Auckland)
143700,Saint Johns West,Simple Map,143700,Saint Johns West
143800,Greenlane South,Simple Map,143800,Greenlane South
143900,Remuera Waiatarua,Simple Map,143900,Remuera Waiatarua
144001,Glendowie North,Many To Many Map,144000,Glendowie North
144101,Onehunga West,Many To Many Map,144100,Onehunga West
144201,Ellerslie West,Many To Many Map,144200,Ellerslie West
144300,Onehunga North,Simple Map,144300,Onehunga North
144400,Ellerslie East,Simple Map,144400,Ellerslie East
144500,Saint Johns East,Simple Map,144500,Saint Johns East
144600,Oneroa West,Simple Map,144600,Oneroa West
144700,Glen Innes West,Simple Map,144700,Glen Innes West
144800,Ellerslie South,Simple Map,144800,Ellerslie South
144900,Stonefields West,Simple Map,144900,Stonefields West
145000,Onehunga Central,Simple Map,145000,Onehunga Central
145101,Glendowie South West,Many To Many Map,144000,Glendowie North
145101,Glendowie South West,Many To Many Map,145100,Glendowie South
145102,Glendowie South East,Many To Many Map,145100,Glendowie South
145102,Glendowie South East,Many To Many Map,144000,Glendowie North
145200,Oranga,Simple Map,145200,Oranga
145300,Mount Wellington North West,Simple Map,145300,Mount Wellington North West
145400,Panmure Glen Innes Industrial,Simple Map,145400,Panmure Glen Innes Industrial
145500,Onehunga-Te Papapa Industrial,Simple Map,145500,Onehunga-Te Papapa Industrial
145600,Te Papapa,Simple Map,145600,Te Papapa
145700,Stonefields East,Simple Map,145700,Stonefields East
145800,Glen Innes East-Wai O Taiki Bay,Simple Map,145800,Glen Innes East-Wai O Taiki Bay
145900,Penrose,Simple Map,145900,Penrose
146000,Mount Wellington North East,Simple Map,146000,Mount Wellington North East
146100,Mangere Bridge Ambury,Simple Map,146100,Mangere Bridge Ambury
146201,Mount Wellington Ferndale,Many To Many Map,146200,Mount Wellington Ferndale
146301,Point England North,Many To One Map,146300,Point England
146302,Point England South,Many To One Map,146300,Point England
146400,Bucklands Beach North,Simple Map,146400,Bucklands Beach North
146501,Mount Wellington East,Many To Many Map,146200,Mount Wellington Ferndale
146501,Mount Wellington East,Many To Many Map,146500,Mount Wellington East
146600,Mount Wellington West,Simple Map,146600,Mount Wellington West
146700,Panmure West,Simple Map,146700,Panmure West
146800,Mangere Bridge,Simple Map,146800,Mangere Bridge
146900,Oneroa East-Palm Beach,Simple Map,146900,Oneroa East-Palm Beach
147001,Tamaki West,Many To One Map,147000,Tamaki
147002,Tamaki East,Many To One Map,147000,Tamaki
147100,Panmure East,Simple Map,147100,Panmure East
147201,Mount Wellington Central,Many To Many Map,147200,Mount Wellington Central
147201,Mount Wellington Central,Many To Many Map,146500,Mount Wellington East
147202,Mount Wellington Hamlin,Many To Many Map,147200,Mount Wellington Central
147202,Mount Wellington Hamlin,Many To Many Map,146200,Mount Wellington Ferndale
147300,Bays Waiheke Island,Simple Map,147300,Bays Waiheke Island
147400,Sylvia Park,Simple Map,147400,Sylvia Park
147500,Mangere Mountain View,Simple Map,147500,Mangere Mountain View
147600,Surfdale,Simple Map,147600,Surfdale
147700,Mount Wellington Industrial,Simple Map,147700,Mount Wellington Industrial
147800,Half Moon Bay West,Simple Map,147800,Half Moon Bay West
147900,Auckland Airport,Simple Map,147900,Auckland Airport
148000,Eastern Beach,Simple Map,148000,Eastern Beach
148101,Sunnyhills West,Many To Many Map,148400,Farm Cove
148101,Sunnyhills West,Many To Many Map,148100,Sunnyhills West-Pakuranga North
148102,Pakuranga North,Many To Many Map,148100,Sunnyhills West-Pakuranga North
148102,Pakuranga North,Many To Many Map,149000,Pakuranga West
148200,Favona North,Simple Map,148200,Favona North
148300,Bucklands Beach Central,Simple Map,148300,Bucklands Beach Central
148401,Farm Cove,Many To Many Map,148400,Farm Cove
148501,Mangere North,Many To Many Map,148500,Mangere North
148501,Mangere North,Many To Many Map,148900,Mangere West
148600,Favona West,Simple Map,148600,Favona West
148700,Ostend,Simple Map,148700,Ostend
148800,Half Moon Bay North East,Simple Map,148800,Half Moon Bay North East
148901,Mangere West,Many To Many Map,148900,Mangere West
149001,Pakuranga West,Many To Many Map,149000,Pakuranga West
149100,Mount Wellington South West,Simple Map,149100,Mount Wellington South West
149200,Sunnyhills East,Simple Map,149200,Sunnyhills East
149300,Half Moon Bay South East,Simple Map,149300,Half Moon Bay South East
149400,Favona East,Simple Map,149400,Favona East
149500,Mount Wellington South East,Simple Map,149500,Mount Wellington South East
149600,Otahuhu Industrial,Simple Map,149600,Otahuhu Industrial
149701,Bucklands Beach Murvale,Many To One Map,149700,Bucklands Beach South
149702,Bucklands Beach South,Many To One Map,149700,Bucklands Beach South
149800,Pakuranga Central,Simple Map,149800,Pakuranga Central
149901,Awhitu,Many To Many Map,149900,Awhitu
150000,Harania North,Simple Map,150000,Harania North
150101,Otahuhu Central,Many To Many Map,150100,Otahuhu Central
150200,Mangere Central,Simple Map,150200,Mangere Central
150301,Otahuhu North West,Many To Many Map,150300,Otahuhu North
150301,Otahuhu North West,Many To Many Map,150100,Otahuhu Central
150302,Otahuhu North East,Many To Many Map,150300,Otahuhu North
150400,Howick West,Simple Map,150400,Howick West
150500,Pakuranga Heights North West,Simple Map,150500,Pakuranga Heights North West
150600,Mellons Bay,Simple Map,150600,Mellons Bay
150700,Pakuranga Heights East,Simple Map,150700,Pakuranga Heights East
150800,Sutton Park,Simple Map,150800,Sutton Park
150900,Otahuhu East,Simple Map,150900,Otahuhu East
151000,Mangere South,Simple Map,151000,Mangere South
151100,Onetangi,Simple Map,151100,Onetangi
151200,Harania South,Simple Map,151200,Harania South
151301,Highland Park (Auckland),Many To Many Map,151300,Highland Park (Auckland)
151400,Otahuhu South West,Simple Map,151400,Otahuhu South West
151500,Pakuranga Heights South West,Simple Map,151500,Pakuranga Heights South West
151600,Mangere Mascot,Simple Map,151600,Mangere Mascot
151700,Waiheke East,Simple Map,151700,Waiheke East
151800,Massey Road West,Simple Map,151800,Massey Road West
151900,Otahuhu South,Simple Map,151900,Otahuhu South
152000,Howick Central,Simple Map,152000,Howick Central
152101,Massey Road North,Many To Many Map,152100,Massey Road North
152201,Botany Downs West,Many To Many Map,152200,Botany Downs West
152201,Botany Downs West,Many To Many Map,151300,Highland Park (Auckland)
152300,East Tamaki,Simple Map,152300,East Tamaki
152400,Howick East,Simple Map,152400,Howick East
152500,Burswood,Simple Map,152500,Burswood
152600,Massey Road South,Simple Map,152600,Massey Road South
152700,Middlemore,Simple Map,152700,Middlemore
152800,Mangere South East,Simple Map,152800,Mangere South East
152900,Botany Downs East,Simple Map,152900,Botany Downs East
153000,Grange,Simple Map,153000,Grange
153100,Golflands,Simple Map,153100,Golflands
153200,Aorere North,Simple Map,153200,Aorere North
153301,Mangere East,Many To Many Map,152100,Massey Road North
153301,Mangere East,Many To Many Map,153300,Mangere East
153400,Cockle Bay,Simple Map,153400,Cockle Bay
153500,Otara West,Simple Map,153500,Otara West
153600,Aorere Central,Simple Map,153600,Aorere Central
153700,Northpark North,Simple Map,153700,Northpark North
153800,Somerville,Simple Map,153800,Somerville
153900,Northpark South,Simple Map,153900,Northpark South
154001,Papatoetoe North,Many To Many Map,154000,Papatoetoe North
154101,Dingwall,Many To Many Map,154100,Dingwall
154201,Aorere South West,Many To Many Map,154200,Aorere South
154202,Aorere South East,Many To Many Map,154200,Aorere South
154202,Aorere South East,Many To Many Map,155900,Papatoetoe South West
154300,Shelly Park,Simple Map,154300,Shelly Park
154400,Otara Central,Simple Map,154400,Otara Central
154500,Huntington Park,Simple Map,154500,Huntington Park
154600,Botany Central,Simple Map,154600,Botany Central
154701,Dannemora North-Shamrock Park,Simple Map,154700,Botany North
154801,Papatoetoe North West,Many To Many Map,153300,Mangere East
154801,Papatoetoe North West,Many To Many Map,154800,Papatoetoe West
154802,Papatoetoe West,Many To Many Map,155900,Papatoetoe South West
154802,Papatoetoe West,Many To Many Map,154800,Papatoetoe West
154901,Papatoetoe Central West,Many To Many Map,154900,Papatoetoe Central
154901,Papatoetoe Central West,Many To Many Map,154000,Papatoetoe North
154902,Papatoetoe Central East,Many To Many Map,154900,Papatoetoe Central
155000,Sunkist Bay,Simple Map,155000,Sunkist Bay
155100,Otara East,Simple Map,155100,Otara East
155200,Redcastle,Simple Map,155200,Redcastle
155301,Dannemora South,Simple Map,155300,Botany East
155401,Armoy,Many To Many Map,156100,Dannemora North
155401,Armoy,Many To Many Map,155400,Botany South
155500,Manukau Central,Simple Map,155500,Manukau Central
155601,Papatoetoe North East,Many To Many Map,154100,Dingwall
155601,Papatoetoe North East,Many To Many Map,155600,Papatoetoe East
155602,Papatoetoe East,Many To Many Map,155600,Papatoetoe East
155602,Papatoetoe East,Many To Many Map,156200,Papatoetoe South
155701,Otara South West,Many To Many Map,155700,Otara South
155702,Otara South,Many To Many Map,155700,Otara South
155702,Otara South,Many To Many Map,155800,Ferguson
155801,Ferguson,Many To Many Map,155800,Ferguson
155901,Papatoetoe South West,Many To Many Map,155900,Papatoetoe South West
156000,Botany Junction,Simple Map,156000,Botany Junction
156101,Middlefield,Many To Many Map,156100,Dannemora North
156101,Middlefield,Many To Many Map,155400,Botany South
156201,Papatoetoe South,Many To Many Map,156200,Papatoetoe South
156301,Point View,Simple Map,156300,East Tamaki Heights
156400,Te Puru,Simple Map,156400,Te Puru
156500,Puhinui North,Simple Map,156500,Puhinui North
156601,Savonna,Simple Map,156600,Dannemora South
156700,Puhinui South,Simple Map,156700,Puhinui South
156800,Rongomai West,Simple Map,156800,Rongomai West
156901,Baverstock,Many To Many Map,157100,Turanga
156901,Baverstock,Many To Many Map,156900,Baverstock
157000,Puhinui East,Simple Map,157000,Puhinui East
157101,Turanga,Many To Many Map,157100,Turanga
157200,Rongomai East,Simple Map,157200,Rongomai East
157301,Ormiston North,Many To Many Map,157300,Ormiston North
157400,Maraetai,Simple Map,157400,Maraetai
157500,Chapel Downs,Simple Map,157500,Chapel Downs
157600,Wiri West,Simple Map,157600,Wiri West
157701,Clover Park North,Many To Many Map,157700,Clover Park North
157701,Clover Park North,Many To Many Map,157900,Clover Park South
157702,Clover Park East,Many To Many Map,157700,Clover Park North
157702,Clover Park East,Many To Many Map,157900,Clover Park South
157800,Mission Heights North,Simple Map,157800,Mission Heights North
157901,Clover Park South,Many To Many Map,157900,Clover Park South
158001,Donegal Park West,Many To One Map,158000,Donegal Park
158002,Donegal Park East,Many To One Map,158000,Donegal Park
158101,Ormiston Central,Many To Many Map,157300,Ormiston North
158101,Ormiston Central,Many To Many Map,158100,Ormiston South
158102,Ormiston South,Many To Many Map,158100,Ormiston South
158200,Mission Heights South,Simple Map,158200,Mission Heights South
158300,Hilltop (Auckland),Simple Map,158300,Hilltop (Auckland)
158401,Wiri North,Many To One Map,158400,Wiri East
158402,Wiri East,Many To One Map,158400,Wiri East
158501,Goodwood Heights West,Many To One Map,158500,Goodwood Heights
158502,Goodwood Heights East,Many To One Map,158500,Goodwood Heights
158601,Ormiston East,Many To One Map,158600,Ormiston East
158602,Bremner Ridge,Many To One Map,158600,Ormiston East
158603,Ormiston South East,Many To One Map,158600,Ormiston East
158700,Clendon Park North,Simple Map,158700,Clendon Park North
158800,Burbank,Simple Map,158800,Burbank
158900,Tuscany Heights,Simple Map,158900,Tuscany Heights
159000,Totara Heights,Simple Map,159000,Totara Heights
159101,Homai East,Many To Many Map,159100,Homai East
159201,Homai West,Many To Many Map,159200,Homai West
159202,Homai Central,Many To Many Map,159100,Homai East
159202,Homai Central,Many To Many Map,159200,Homai West
159301,The Gardens (Auckland),Many To Many Map,160400,Alfriston
159301,The Gardens (Auckland),Many To Many Map,159300,The Gardens (Auckland)
159401,Clarks Beach,Many To Many Map,159400,Clarks Beach
159500,Clendon Park West,Simple Map,159500,Clendon Park West
159600,Hillpark North,Simple Map,159600,Hillpark North
159700,Clendon Park East,Simple Map,159700,Clendon Park East
159801,Karaka Creek,Many To Many Map,159800,Karaka Creek
159801,Karaka Creek,Many To Many Map,159400,Clarks Beach
159900,Rowandale West,Simple Map,159900,Rowandale West
160000,Rowandale East,Simple Map,160000,Rowandale East
160100,Manurewa Central,Simple Map,160100,Manurewa Central
160201,Weymouth West,Many To Many Map,160200,Weymouth North
160202,Weymouth Central,Many To Many Map,160200,Weymouth North
160202,Weymouth Central,Many To Many Map,160500,Weymouth East
160300,Hillpark South,Simple Map,160300,Hillpark South
160401,Alfriston,Many To Many Map,160400,Alfriston
160501,Weymouth East,Many To Many Map,160500,Weymouth East
160601,Leabank,Many To Many Map,160600,Leabank
160700,Weymouth South,Simple Map,160700,Weymouth South
160800,Manurewa East,Simple Map,160800,Manurewa East
160901,Manurewa West,Many To Many Map,160600,Leabank
160901,Manurewa West,Many To Many Map,160900,Manurewa South
160902,Manurewa South,Many To Many Map,160900,Manurewa South
161000,Randwick Park East,Simple Map,161000,Randwick Park East
161100,Wattle Downs West,Simple Map,161100,Wattle Downs West
161201,Wattle Downs North,Many To Many Map,161200,Wattle Downs North
161201,Wattle Downs North,Many To Many Map,160500,Weymouth East
161300,Randwick Park West,Simple Map,161300,Randwick Park West
161400,Kingseat-Karaka,Simple Map,161400,Kingseat-Karaka
161500,Wattle Downs East,Simple Map,161500,Wattle Downs East
161600,Takanini North,Simple Map,161600,Takanini North
161700,Takanini Industrial,Simple Map,161700,Takanini Industrial
161800,Conifer Grove West,Simple Map,161800,Conifer Grove West
161900,Conifer Grove East,Simple Map,161900,Conifer Grove East
162000,Takanini West,Simple Map,162000,Takanini West
162101,Takanini South,Many To One Map,162100,Takanini South
162102,Takanini East,Many To One Map,162100,Takanini South
162200,Takanini Central,Simple Map,162200,Takanini Central
162300,Ardmore,Simple Map,162300,Ardmore
162400,Glenbrook,Simple Map,162400,Glenbrook
162500,Hingaia,Simple Map,162500,Hingaia
162601,Takanini South East,Many To One Map,162600,Takanini South East
162602,Takanini McLennan,Many To One Map,162600,Takanini South East
162701,Kawakawa Bay-Orere,Many To Many Map,162700,Kawakawa Bay-Orere
162701,Kawakawa Bay-Orere,Many To Many Map,162900,Clevedon
162800,Papakura West,Simple Map,162800,Papakura West
162901,Clevedon,Many To Many Map,162900,Clevedon
163001,Papakura North,Many To Many Map,163000,Papakura North
163100,Pahurehure,Simple Map,163100,Pahurehure
163200,Papakura Central,Simple Map,163200,Papakura Central
163301,Papakura North East,Many To One Map,163300,Papakura North East
163302,Twin Parks Rise,Many To One Map,163300,Papakura North East
163400,Karaka Lakes,Simple Map,163400,Karaka Lakes
163501,Papakura Kelvin,Many To Many Map,163000,Papakura North
163501,Papakura Kelvin,Many To Many Map,163500,Papakura Kelvin
163502,Papakura Eastburn,Many To Many Map,163500,Papakura Kelvin
163600,Papakura Massey Park,Simple Map,163600,Papakura Massey Park
163700,Rosehill,Simple Map,163700,Rosehill
163801,Patumahoe,Many To Many Map,163800,Patumahoe
163803,Patumahoe Rural,Many To Many Map,165100,Ramarama
163803,Patumahoe Rural,Many To Many Map,163800,Patumahoe
163901,Papakura East,Many To Many Map,163900,Papakura East
163902,Harbour View Heights,Many To Many Map,164200,Red Hill
163902,Harbour View Heights,Many To Many Map,163900,Papakura East
164001,Opaheke,Many To Many Map,164300,Drury
164001,Opaheke,Many To Many Map,164000,Opaheke
164100,Papakura Industrial,Simple Map,164100,Papakura Industrial
164201,Red Hill,Many To Many Map,164200,Red Hill
164301,Drury West,Many To Many Map,164300,Drury
164302,Drury East,Many To Many Map,164300,Drury
164401,Tamakae,Many To Many Map,149900,Awhitu
164401,Tamakae,Many To Many Map,164400,Tamakae
164500,Hamilton Estate,Simple Map,164500,Hamilton Estate
164601,Runciman,Many To Many Map,164300,Drury
164601,Runciman,Many To Many Map,164600,Drury Rural
164601,Runciman,Many To Many Map,165100,Ramarama
164602,Drury South Crossing,Many To Many Map,164600,Drury Rural
164602,Drury South Crossing,Many To Many Map,166300,Bombay Hills
164603,Waihoehoe,Many To Many Map,164600,Drury Rural
164700,Waiuku Central,Simple Map,164700,Waiuku Central
164800,Waiuku East,Simple Map,164800,Waiuku East
164900,Kendallvale,Simple Map,164900,Kendallvale
165001,Puni,Many To Many Map,165000,Puni
165001,Puni,Many To Many Map,165900,Cloverlea (Auckland)
165101,Ramarama,Many To Many Map,165100,Ramarama
165200,Hunua,Simple Map,165200,Hunua
165301,Pukekohe North,Many To One Map,165300,Pukekohe North West
165302,Pukekohe North West,Many To One Map,165300,Pukekohe North West
165400,Anselmi Ridge,Simple Map,165400,Anselmi Ridge
165501,Pukekohe West,Many To Many Map,165500,Pukekohe West
165502,Pukekohe South West,Many To Many Map,165500,Pukekohe West
165502,Pukekohe South West,Many To Many Map,165000,Puni
165600,Cape Hill,Simple Map,165600,Cape Hill
165700,Rosa Birch Park,Simple Map,165700,Rosa Birch Park
165800,Rooseville Park,Simple Map,165800,Rooseville Park
165901,Cloverlea (Auckland),Many To Many Map,165900,Cloverlea (Auckland)
166000,Pukekohe Central,Simple Map,166000,Pukekohe Central
166100,Pukekohe Hospital,Simple Map,166100,Pukekohe Hospital
166200,Buckland,Simple Map,166200,Buckland
166301,Bombay Hills,Many To Many Map,166300,Bombay Hills
166400,Ararimu,Simple Map,166400,Ararimu
166500,Colville,Simple Map,166500,Colville
166600,Islands Thames-Coromandel District,Simple Map,166600,Islands Thames-Coromandel District
166700,Coromandel,Simple Map,166700,Coromandel
166801,Inlets Thames-Coromandel District,Many To Many Map,166800,Inlets Thames-Coromandel District
166900,Mercury Bay North,Simple Map,166900,Mercury Bay North
167000,Whitianga North,Simple Map,167000,Whitianga North
167101,Whitianga South,Many To One Map,167100,Whitianga South
167102,Whitianga Waterways,Many To One Map,167100,Whitianga South
167200,Thames Coast,Simple Map,167200,Thames Coast
167300,Cooks Beach-Ferry Landing,Simple Map,167300,Cooks Beach-Ferry Landing
167400,Mercury Bay South,Simple Map,167400,Mercury Bay South
167501,Kauaeranga,Many To Many Map,167500,Kauaeranga
167600,Thames North,Simple Map,167600,Thames North
167700,Thames Central,Simple Map,167700,Thames Central
167800,Thames South,Simple Map,167800,Thames South
167900,Hikuai,Simple Map,167900,Hikuai
168001,Totora-Kopu,Many To Many Map,167500,Kauaeranga
168001,Totora-Kopu,Many To Many Map,168000,Totora-Kopu
168101,Tairua,Many To Many Map,168100,Tairua
168101,Tairua,Many To Many Map,166800,Inlets Thames-Coromandel District
168200,Pauanui,Simple Map,168200,Pauanui
168300,Matatoki-Puriri,Simple Map,168300,Matatoki-Puriri
168400,Whangamata Rural,Simple Map,168400,Whangamata Rural
168501,Whangamata West,Many To Many Map,168500,Whangamata
168502,Whangamata East,Many To Many Map,168500,Whangamata
168502,Whangamata East,Many To Many Map,166800,Inlets Thames-Coromandel District
168600,Miranda-Pukorokoro,Simple Map,168600,Miranda-Pukorokoro
168701,Hauraki Plains North,Many To Many Map,168700,Hauraki Plains North
168701,Hauraki Plains North,Many To Many Map,168900,Ngatea
168800,Hauraki Plains East,Simple Map,168800,Hauraki Plains East
168901,Ngatea,Many To Many Map,168900,Ngatea
169000,Hauraki Plains South,Simple Map,169000,Hauraki Plains South
169100,Paeroa Rural,Simple Map,169100,Paeroa Rural
169200,Paeroa,Simple Map,169200,Paeroa
169301,Waihi Rural,Many To Many Map,169300,Waihi Rural
169401,Waihi North,Many To Many Map,169400,Waihi North
169401,Waihi North,Many To Many Map,169300,Waihi Rural
169500,Waihi East,Simple Map,169500,Waihi East
169600,Waihi South,Simple Map,169600,Waihi South
169700,Aka Aka,Simple Map,169700,Aka Aka
169800,Mangatangi,Simple Map,169800,Mangatangi
169901,Tuakau Rural,Many To Many Map,169900,Tuakau Rural
170001,Tuakau North,Many To Many Map,169900,Tuakau Rural
170001,Tuakau North,Many To Many Map,170000,Tuakau North
170101,Onewhero,Many To Many Map,170100,Onewhero
170101,Onewhero,Many To Many Map,170900,Te Akau
170201,Pokeno Rural,Many To Many Map,170200,Pokeno Rural
170300,Tuakau South,Simple Map,170300,Tuakau South
170400,Port Waikato-Waikaretu,Simple Map,170400,Port Waikato-Waikaretu
170501,Pokeno North,Many To Many Map,170200,Pokeno Rural
170501,Pokeno North,Many To Many Map,170500,Pokeno
170502,Pokeno South,Many To Many Map,170200,Pokeno Rural
170502,Pokeno South,Many To Many Map,170500,Pokeno
170600,Pukekawa,Simple Map,170600,Pukekawa
170700,Maramarua,Simple Map,170700,Maramarua
170802,Te Kauwhata West,Many To Many Map,170800,Rangiriri
170803,Whangamarino,Many To Many Map,170800,Rangiriri
170901,Te Akau,Many To Many Map,170900,Te Akau
171000,Inlets Waikato District,Simple Map,171000,Inlets Waikato District
171101,Te Kauwhata East,Many To Many Map,171100,Te Kauwhata
171101,Te Kauwhata East,Many To Many Map,170800,Rangiriri
171201,Huntly Rural,Many To Many Map,171200,Huntly Rural
171300,Waerenga,Simple Map,171300,Waerenga
171400,Huntly West,Simple Map,171400,Huntly West
171501,Huntly East,Many To Many Map,171500,Huntly East
171501,Huntly East,Many To Many Map,171200,Huntly Rural
171502,Huntly South,Many To Many Map,171500,Huntly East
171601,Raglan,Many To Many Map,171600,Raglan
171601,Raglan,Many To Many Map,171800,Te Uku
171700,Whitikahu,Simple Map,171700,Whitikahu
171801,Te Uku,Many To Many Map,171800,Te Uku
171803,Whale Bay,Many To Many Map,171800,Te Uku
171901,Taupiri-Lake Kainui,Many To Many Map,171900,Taupiri-Lake Kainui
172001,Ngaruawahia North,Many To Many Map,171900,Taupiri-Lake Kainui
172001,Ngaruawahia North,Many To Many Map,172000,Ngaruawahia North
172100,Ngaruawahia Central,Simple Map,172100,Ngaruawahia Central
172201,Ngaruawahia South,Many To Many Map,172400,Te Kowhai
172201,Ngaruawahia South,Many To Many Map,172200,Ngaruawahia South
172300,Kainui-Gordonton,Simple Map,172300,Kainui-Gordonton
172401,Te Kowhai,Many To Many Map,172400,Te Kowhai
172500,Whatawhata West,Simple Map,172500,Whatawhata West
172601,Horotiu,Many To Many Map,172400,Te Kowhai
172601,Horotiu,Many To Many Map,172600,Horotiu
172700,Horsham Downs,Simple Map,172700,Horsham Downs
172800,Whatawhata East,Simple Map,172800,Whatawhata East
172900,Rotokauri,Simple Map,172900,Rotokauri
173000,Hamilton Park,Simple Map,173000,Hamilton Park
173100,Eureka-Tauwhare,Simple Map,173100,Eureka-Tauwhare
173201,Tamahere North,Many To One Map,173200,Tamahere North
173202,Tamahere West,Many To One Map,173200,Tamahere North
173300,Pukemoremore,Simple Map,173300,Pukemoremore
173400,Tamahere South,Simple Map,173400,Tamahere South
173500,Tahuna-Mangateparu,Simple Map,173500,Tahuna-Mangateparu
173600,Mangaiti,Simple Map,173600,Mangaiti
173700,Tatuanui,Simple Map,173700,Tatuanui
173801,Tahuroa,Many To Many Map,173800,Tahuroa
173901,Morrinsville North,Many To Many Map,173800,Tahuroa
173901,Morrinsville North,Many To Many Map,173900,Morrinsville East
173902,Morrinsville East,Many To Many Map,173900,Morrinsville East
174001,Morrinsville West,Many To Many Map,174000,Morrinsville West
174001,Morrinsville West,Many To Many Map,173800,Tahuroa
174100,Te Aroha East,Simple Map,174100,Te Aroha East
174200,Te Aroha West,Simple Map,174200,Te Aroha West
174300,Waihou-Manawaru,Simple Map,174300,Waihou-Manawaru
174400,Waitoa-Ngarua,Simple Map,174400,Waitoa-Ngarua
174500,Richmond Downs-Wardville,Simple Map,174500,Richmond Downs-Wardville
174601,Waharoa-Peria,Many To Many Map,174600,Waharoa-Peria
174701,Okauia,Many To Many Map,174700,Okauia
174801,Hinuera,Many To Many Map,174800,Hinuera
174901,Matamata North,Many To Many Map,174700,Okauia
174901,Matamata North,Many To Many Map,174900,Matamata North
174901,Matamata North,Many To Many Map,174600,Waharoa-Peria
175001,Matamata West,Many To Many Map,174600,Waharoa-Peria
