"SA32023_V1_00_usual_residence_address","SA32023_V1_00_NAME_usual_residence_address","SA32023_V1_00_NAME_ASCII_usual_residence_address","SA32023_V1_00_workplace_address","SA32023_V1_00_NAME_workplace_address","SA32023_V1_00_NAME_ASCII_workplace_address","2018_Work_at_home","2018_Drive_a_private_car_truck_or_van","2018_Drive_a_company_car_truck_or_van","2018_Passenger_in_a_car_truck_van_or_company_bus","2018_Public_bus","2018_Train","2018_Bicycle","2018_Walk_or_jog","2018_Ferry","2018_Other","2018_Total_stated","2023_Work_at_home","2023_Drive_a_private_car_truck_or_van","2023_Drive_a_company_car_truck_or_van","2023_Passenger_in_a_car_truck_van_or_company_bus","2023_Public_bus","2023_Train","2023_Bicycle","2023_Walk_or_jog","2023_Ferry","2023_Other","2023_Total_stated"
"Total","Total","Total","50760","Windsor Park","Windsor Park",96,486,36,15,12,3,0,24,0,3,666,168,525,24,12,12,0,3,21,0,6,774
"50770","Mairangi Bay","Mairangi Bay","Total","Total","Total",402,1560,276,69,282,0,12,48,0,21,2673,696,1482,273,81,288,0,12,48,0,27,2904
"Total","Total","Total","50770","Mairangi Bay","Mairangi Bay",402,483,63,27,21,3,0,42,0,6,1044,696,510,72,27,21,0,3,30,3,9,1365
"50780","Campbells Bay","Campbells Bay","Total","Total","Total",228,852,126,30,138,3,6,12,3,15,1410,426,720,120,30,135,0,9,21,0,9,1470
"Total","Total","Total","50780","Campbells Bay","Campbells Bay",228,87,21,3,9,0,0,6,0,0,354,426,108,15,18,6,0,0,12,0,0,585
"50790","Sunnynook","Sunnynook","Total","Total","Total",210,1491,228,84,489,6,6,66,3,18,2601,567,1530,228,84,402,3,6,57,0,18,2901
"Total","Total","Total","50790","Sunnynook","Sunnynook",210,423,51,24,24,0,3,39,0,3,777,567,348,39,15,21,0,0,36,0,3,1029
"50800","Unsworth Heights","Unsworth Heights","Total","Total","Total",264,1842,300,108,429,3,15,33,3,33,3027,678,1698,267,111,321,3,9,36,0,30,3156
"Total","Total","Total","50800","Unsworth Heights","Unsworth Heights",264,279,60,24,27,3,3,18,0,0,681,678,300,48,21,18,0,3,12,0,6,1083
"50810","Forrest Hill","Forrest Hill","Total","Total","Total",384,2757,423,144,693,9,30,105,3,48,4593,1089,2754,363,141,609,6,30,87,0,42,5121
"Total","Total","Total","50810","Forrest Hill","Forrest Hill",384,612,102,27,30,0,6,33,0,6,1197,1089,672,87,21,33,3,6,36,0,6,1950
"50820","Castor Bay","Castor Bay","Total","Total","Total",354,1248,252,39,216,3,27,33,6,27,2202,612,1146,219,66,222,3,24,30,0,30,2349
"Total","Total","Total","50820","Castor Bay","Castor Bay",354,228,48,9,15,3,3,12,0,0,672,612,210,39,6,9,0,3,12,0,3,891
"50830","Totara Vale","Totara Vale","Total","Total","Total",201,2040,297,126,525,6,15,84,0,33,3330,582,1941,255,87,366,3,6,63,0,42,3348
"Total","Total","Total","50830","Totara Vale","Totara Vale",201,285,81,27,27,3,0,18,0,6,648,582,195,54,6,9,0,0,15,0,0,864
"50840","Glenfield","Glenfield","Total","Total","Total",579,5136,699,300,1164,21,36,195,9,93,8235,1605,4890,714,303,954,6,33,204,3,111,8823
"Total","Total","Total","50840","Glenfield","Glenfield",579,8181,2091,519,561,39,48,360,9,120,12513,1605,8529,2016,540,585,30,57,360,9,186,13911
"50850","Waiheke Island","Waiheke Island","Total","Total","Total",879,1476,291,132,102,15,54,204,810,81,4035,1371,1566,339,144,135,12,90,180,552,75,4467
