"SA32023_V1_00_usual_residence_address","SA32023_V1_00_NAME_usual_residence_address","SA32023_V1_00_NAME_ASCII_usual_residence_address","SA32023_V1_00_workplace_address","SA32023_V1_00_NAME_workplace_address","SA32023_V1_00_NAME_ASCII_workplace_address","2018_Work_at_home","2018_Drive_a_private_car_truck_or_van","2018_Drive_a_company_car_truck_or_van","2018_Passenger_in_a_car_truck_van_or_company_bus","2018_Public_bus","2018_Train","2018_Bicycle","2018_Walk_or_jog","2018_Ferry","2018_Other","2018_Total_stated","2023_Work_at_home","2023_Drive_a_private_car_truck_or_van","2023_Drive_a_company_car_truck_or_van","2023_Passenger_in_a_car_truck_van_or_company_bus","2023_Public_bus","2023_Train","2023_Bicycle","2023_Walk_or_jog","2023_Ferry","2023_Other","2023_Total_stated"
"60430","Kaikoura District","Kaikoura District","Total","Total","Total",585,732,159,48,0,3,63,96,0,15,1701,609,864,159,45,0,0,45,99,0,21,1848
"Total","Total","Total","60430","Kaikoura District","Kaikoura District",585,768,216,54,3,0,63,102,0,15,1803,609,855,156,45,0,0,45,99,0,18,1827
"60440","Buller District Other","Buller District Other","Total","Total","Total",594,534,138,66,3,0,18,87,0,36,1476,648,660,162,87,3,0,21,111,0,36,1728
"Total","Total","Total","60440","Buller District Other","Buller District Other",594,378,186,114,3,0,21,84,0,33,1407,648,516,243,186,3,0,21,105,0,42,1758
"60460","Westport","Westport","Total","Total","Total",378,1014,267,129,3,0,66,162,0,12,2034,384,1215,294,189,3,3,81,150,0,24,2343
"Total","Total","Total","60460","Westport","Westport",378,1140,225,81,0,0,60,168,0,15,2067,384,1341,231,96,3,0,78,144,0,18,2301
"60470","Grey District Other","Grey District Other","Total","Total","Total",621,900,195,48,0,0,3,48,0,33,1848,555,1023,231,57,3,0,15,45,0,42,1968
"Total","Total","Total","60470","Grey District Other","Grey District Other",621,414,144,45,0,0,3,39,0,24,1287,555,594,195,54,0,0,15,54,0,33,1500
"60480","Greymouth","Greymouth","Total","Total","Total",675,2076,465,150,0,0,75,186,0,24,3651,621,2379,588,183,0,0,75,189,0,27,4065
"Total","Total","Total","60480","Greymouth","Greymouth",675,2721,561,162,6,3,78,195,0,27,4428,621,3003,663,168,0,0,75,189,0,36,4755
"60500","Westland District North","Westland District North","Total","Total","Total",603,1356,264,99,0,0,69,204,0,36,2628,660,1728,348,102,0,0,81,195,0,27,3141
"Total","Total","Total","60500","Westland District North","Westland District North",603,1278,213,90,0,0,69,210,0,42,2505,660,1581,297,102,0,0,78,192,0,24,2934
"60510","Westland District South","Westland District South","Total","Total","Total",498,411,72,21,0,0,42,306,0,15,1362,399,405,96,12,0,0,18,207,0,21,1158
"Total","Total","Total","60510","Westland District South","Westland District South",498,375,75,18,0,0,39,309,0,15,1335,399,357,102,9,3,0,18,204,0,21,1110
"60530","Hurunui District West","Hurunui District West","Total","Total","Total",1047,756,234,39,0,0,30,195,0,126,2433,1134,957,258,39,0,3,18,198,0,144,2751
"Total","Total","Total","60530","Hurunui District West","Hurunui District West",1047,735,243,42,3,0,27,198,0,126,2418,1134,897,279,39,0,0,15,189,0,135,2691
"60540","Hurunui District East","Hurunui District East","Total","Total","Total",1029,1347,357,78,3,0,30,105,0,21,2964,1296,1908,480,66,6,0,27,117,3,39,3942
"Total","Total","Total","60540","Hurunui District East","Hurunui District East",1029,1035,294,78,3,0,27,108,0,12,2583,1296,1404,336,69,0,0,24,117,0,30,3279
"60550","Waimakariri District North","Waimakariri District North","Total","Total","Total",588,1059,312,42,9,0,9,15,0,15,2049,792,1422,396,66,24,0,15,12,0,33,2757
"Total","Total","Total","60550","Waimakariri District North","Waimakariri District North",588,441,96,21,0,0,9,12,0,12,1179,792,480,126,15,0,0,12,9,0,9,1446
"60560","Waimakariri District South","Waimakariri District South","Total","Total","Total",999,1758,489,81,6,0,18,81,0,57,3486,1377,2313,576,93,9,0,24,69,0,93,4554
"Total","Total","Total","60560","Waimakariri District South","Waimakariri District South",999,744,219,30,3,0,18,78,0,42,2133,1377,945,240,45,0,0,18,63,0,69,2766
"60570","Waimakariri District East","Waimakariri District East","Total","Total","Total",786,1494,453,60,9,0,18,30,0,21,2868,1062,2019,564,78,18,0,15,27,0,33,3819
"Total","Total","Total","60570","Waimakariri District East","Waimakariri District East",786,525,198,24,6,0,6,24,0,9,1581,1062,900,264,39,6,0,24,33,0,21,2352
"60580","Waimakariri District Coast","Waimakariri District Coast","Total","Total","Total",624,2055,501,72,27,0,21,51,0,24,3372,1134,3597,795,144,75,3,42,60,3,45,5892
"Total","Total","Total","60580","Waimakariri District Coast","Waimakariri District Coast",624,519,186,24,0,0,12,42,0,12,1422,1134,900,249,66,6,0,18,51,0,21,2445
"60590","Rangiora North East","Rangiora North East","Total","Total","Total",231,906,216,51,21,0,33,87,0,6,1554,285,1101,258,39,36,0,18,90,0,15,1842
"Total","Total","Total","60590","Rangiora North East","Rangiora North East",231,1734,282,84,24,0,60,159,0,9,2589,285,2511,315,126,27,3,72,186,3,15,3543
"60600","Rangiora North West","Rangiora North West","Total","Total","Total",183,693,183,27,9,0,21,33,0,12,1158,276,1050,231,45,27,0,24,36,0,12,1710
"Total","Total","Total","60600","Rangiora North West","Rangiora North West",183,234,57,12,0,0,6,18,0,0,513,276,345,51,15,3,0,12,15,0,3,714
"60610","Rangiora South East","Rangiora South East","Total","Total","Total",246,1230,282,54,24,0,45,123,0,9,2016,396,1656,348,66,33,0,48,138,0,18,2697
"Total","Total","Total","60610","Rangiora South East","Rangiora South East",246,1455,363,63,15,0,51,99,0,9,2298,396,1935,468,75,27,0,54,90,0,18,3066
"60620","Rangiora South West","Rangiora South West","Total","Total","Total",186,789,231,42,15,0,33,42,0,3,1344,279,1020,237,27,39,0,27,57,0,9,1698
"Total","Total","Total","60620","Rangiora South West","Rangiora South West",186,78,51,9,0,0,3,18,0,3,351,279,144,42,6,3,0,0,12,0,0,486
"60630","Kaiapoi North","Kaiapoi North","Total","Total","Total",258,1299,291,63,30,0,24,33,0,15,2016,408,1776,375,78,69,0,27,33,3,21,2787
"Total","Total","Total","60630","Kaiapoi North","Kaiapoi North",258,447,84,18,3,0,21,36,0,0,876,408,591,72,24,3,0,15,30,0,3,1152
"60640","Kaiapoi West","Kaiapoi West","Total","Total","Total",69,528,87,21,9,0,3,15,0,3,735,180,864,171,15,27,0,6,24,0,9,1296
"Total","Total","Total","60640","Kaiapoi West","Kaiapoi West",69,105,21,6,3,0,3,9,0,0,216,180,159,15,6,3,0,0,9,0,3,378
"60650","Kaiapoi Centre","Kaiapoi Centre","Total","Total","Total",174,954,189,48,36,0,18,42,0,6,1473,216,1317,207,39,45,0,21,57,0,21,1920
"Total","Total","Total","60650","Kaiapoi Centre","Kaiapoi Centre",174,933,180,39,15,0,21,45,0,3,1407,216,1278,192,69,18,0,33,66,0,9,1881
"60660","Christchurch City Rural","Christchurch City Rural","Total","Total","Total",165,573,159,24,12,0,9,15,0,18,972,195,609,126,21,6,0,18,18,0,9,1005
"Total","Total","Total","60660","Christchurch City Rural","Christchurch City Rural",165,759,369,33,9,0,9,9,0,12,1368,195,966,369,42,6,0,30,21,0,15,1638
"60670","Belfast","Belfast","Total","Total","Total",168,1308,252,39,75,0,30,36,0,15,1923,330,1542,258,54,66,0,39,42,0,15,2343
"Total","Total","Total","60670","Belfast","Belfast",168,1026,258,48,24,0,30,30,0,12,1593,330,1515,387,75,36,0,42,42,0,21,2451
"60680","Northwood","Northwood","Total","Total","Total",291,1227,294,42,30,0,45,21,0,21,1971,378,1281,255,66,39,0,45,24,0,15,2106
"Total","Total","Total","60680","Northwood","Northwood",291,390,66,36,30,0,15,24,0,9,861,378,405,51,18,9,0,12,21,0,9,900
"60700","Marshland","Marshland","Total","Total","Total",270,1116,294,36,18,0,48,27,0,9,1824,546,1731,408,60,42,0,78,36,0,18,2922
"Total","Total","Total","60700","Marshland","Marshland",270,561,150,33,12,0,24,18,0,3,1077,546,918,138,72,21,0,33,36,0,21,1785
"60710","Yaldhurst","Yaldhurst","Total","Total","Total",123,501,108,30,12,0,0,15,0,6,795,243,864,123,36,15,0,21,18,0,21,1341
"Total","Total","Total","60710","Yaldhurst","Yaldhurst",123,342,69,12,6,0,9,12,0,6,573,243,459,96,33,3,0,12,9,0,9,864
"60720","Templeton","Templeton","Total","Total","Total",135,675,144,24,27,0,12,18,0,6,1041,168,756,138,30,36,3,9,24,0,9,1167
"Total","Total","Total","60720","Templeton","Templeton",135,975,108,24,12,0,12,27,0,6,1305,168,1314,186,21,6,0,9,33,3,12,1749
"60730","Hornby-Islington","Hornby-Islington","Total","Total","Total",288,2616,396,147,168,3,126,174,0,51,3966,360,2880,372,177,153,0,87,150,0,66,4245
"Total","Total","Total","60730","Hornby-Islington","Hornby-Islington",288,9690,2529,453,381,3,378,276,3,141,14139,360,12231,2925,582,444,0,354,246,3,231,17376
"60740","Harewood-Christchurch Airport","Harewood-Christchurch Airport","Total","Total","Total",129,408,102,30,6,0,24,21,0,12,735,156,399,90,12,15,0,21,12,0,3,705
"Total","Total","Total","60740","Harewood-Christchurch Airport","Harewood-Christchurch Airport",129,5778,603,168,183,3,207,51,3,129,7248,156,7329,1050,246,213,0,231,39,3,162,9429
"60750","Redwood","Redwood","Total","Total","Total",321,2412,426,126,117,0,123,66,0,42,3630,462,2448,405,138,126,0,129,60,0,39,3807
"Total","Total","Total","60750","Redwood","Redwood",321,420,72,12,18,0,27,30,0,6,903,462,438,60,18,9,0,24,30,0,3,1047
"60760","Casebrook","Casebrook","Total","Total","Total",267,1569,306,69,48,3,117,45,0,27,2454,402,1866,330,87,57,0,117,30,0,36,2925
"Total","Total","Total","60760","Casebrook","Casebrook",267,465,153,27,18,0,21,30,0,6,987,402,561,147,30,9,0,24,15,0,9,1197
"60770","Bishopdale","Bishopdale","Total","Total","Total",390,2616,492,120,147,0,192,102,0,48,4107,552,2742,444,132,177,3,186,96,3,57,4389
"Total","Total","Total","60770","Bishopdale","Bishopdale",390,858,120,51,48,0,45,75,0,12,1599,552,843,102,42,33,0,18,69,0,6,1668
"60780","Northcote-Papanui","Northcote-Papanui","Total","Total","Total",408,2490,429,135,198,0,228,180,0,51,4119,654,2640,396,141,183,0,228,183,0,72,4497
"Total","Total","Total","60780","Northcote-Papanui","Northcote-Papanui",408,3564,588,186,327,0,174,225,0,48,5514,654,4239,600,225,375,0,222,237,0,69,6621
"60790","Mairehau","Mairehau","Total","Total","Total",300,1800,360,87,87,0,192,57,3,39,2928,432,1827,351,96,123,3,222,63,0,51,3168
"Total","Total","Total","60790","Mairehau","Mairehau",300,543,126,24,33,0,24,36,0,9,1098,432,624,93,30,21,0,24,39,0,6,1269
"60800","Burnside","Burnside","Total","Total","Total",378,2073,369,114,156,0,186,99,3,36,3411,534,2127,294,123,171,0,213,93,0,63,3618
"Total","Total","Total","60800","Burnside","Burnside",378,4485,717,117,141,0,225,141,3,60,6267,534,4059,669,84,84,3,216,108,0,63,5823
"60810","Bryndwr","Bryndwr","Total","Total","Total",291,1521,213,69,108,3,198,72,0,39,2514,360,1575,225,96,111,0,216,72,0,48,2700
"Total","Total","Total","60810","Bryndwr","Bryndwr",291,513,42,18,15,0,30,27,0,6,942,360,558,51,21,15,0,21,21,0,9,1056
"60820","St Albans","St Albans","Total","Total","Total",804,3792,684,171,216,0,576,402,0,78,6726,1215,3981,627,177,246,3,699,477,0,138,7563
"Total","Total","Total","60820","St Albans","St Albans",804,2637,354,96,105,0,159,162,0,21,4341,1215,2529,372,81,93,0,174,186,0,36,4683
"60830","Avonhead","Avonhead","Total","Total","Total",429,2649,378,135,183,3,228,81,0,42,4119,693,2793,378,144,246,3,249,93,0,57,4659
"Total","Total","Total","60830","Avonhead","Avonhead",429,495,81,27,24,0,21,39,0,3,1119,693,606,60,33,15,0,24,57,0,9,1497
"60840","Strowan","Strowan","Total","Total","Total",192,978,162,39,24,0,135,72,0,12,1611,303,924,144,36,33,0,159,84,0,24,1704
"Total","Total","Total","60840","Strowan","Strowan",192,720,60,21,33,0,42,60,0,3,1134,303,732,60,15,24,0,51,75,0,9,1272
"60850","Ilam","Ilam","Total","Total","Total",597,2859,375,144,267,0,345,285,0,63,4935,879,3360,321,153,375,6,420,354,3,84,5958
"Total","Total","Total","60850","Ilam","Ilam",597,2478,174,114,159,0,549,348,3,57,4473,879,2769,120,123,189,3,624,405,0,69,5175
"60860","Fendalton","Fendalton","Total","Total","Total",342,1077,204,39,48,0,171,99,0,15,1989,465,1083,168,42,72,0,201,111,0,36,2181
"Total","Total","Total","60860","Fendalton","Fendalton",342,525,78,15,30,0,36,45,0,0,1071,465,564,66,21,36,0,39,45,0,9,1248
"60870","Merivale","Merivale","Total","Total","Total",444,1215,252,57,57,0,216,180,0,27,2442,576,1362,195,60,48,3,228,192,0,48,2715
"Total","Total","Total","60870","Merivale","Merivale",444,1854,156,81,93,0,123,147,0,21,2922,576,2133,114,78,99,0,147,162,0,27,3342
"60880","Russley","Russley","Total","Total","Total",87,696,84,27,36,0,45,18,0,9,1005,141,684,120,48,45,0,48,15,0,21,1125
"Total","Total","Total","60880","Russley","Russley",87,672,57,24,39,0,24,24,0,9,936,141,726,69,21,27,0,27,21,0,6,1038
"60890","Broomfield","Broomfield","Total","Total","Total",111,1065,153,48,63,0,51,39,0,12,1539,255,1500,168,87,90,0,60,24,0,30,2211
"Total","Total","Total","60890","Broomfield","Broomfield",111,156,45,6,9,0,6,9,0,0,345,255,297,81,15,3,0,12,12,0,3,672
"60900","Christchurch Centre","Christchurch Centre","Total","Total","Total",399,1395,210,87,177,0,279,654,0,33,3237,768,1998,219,96,231,0,435,1182,0,114,5040
"Total","Total","Total","60900","Christchurch Centre","Christchurch Centre",399,19179,2205,1083,2268,6,3645,1512,15,480,30789,768,24486,2325,1350,3840,6,5448,2226,9,1026,41481
"60910","Riccarton","Riccarton","Total","Total","Total",357,2382,234,138,354,0,342,474,0,66,4344,501,2691,231,183,432,6,399,462,0,108,5010
"Total","Total","Total","60910","Riccarton","Riccarton",357,3693,507,204,441,0,306,351,0,51,5907,501,3960,402,216,534,0,324,312,0,72,6321
"60920","Upper Riccarton","Upper Riccarton","Total","Total","Total",240,1602,129,105,234,3,195,252,0,33,2793,267,1896,117,123,288,3,213,243,0,48,3198
"Total","Total","Total","60920","Upper Riccarton","Upper Riccarton",240,1698,84,90,135,0,111,180,0,18,2556,267,1614,93,96,132,0,111,150,0,36,2496
"60930","Sockburn","Sockburn","Total","Total","Total",144,1209,123,84,102,0,90,75,0,18,1848,189,1269,141,75,114,0,108,66,0,30,1992
"Total","Total","Total","60930","Sockburn","Sockburn",144,4743,1536,213,210,3,243,96,0,78,7263,189,5214,1581,246,192,0,270,132,3,96,7914
"60940","Hei Hei","Hei Hei","Total","Total","Total",90,1071,126,63,57,0,33,57,0,12,1509,141,1098,138,69,51,0,33,45,0,27,1605
"Total","Total","Total","60940","Hei Hei","Hei Hei",90,246,18,12,6,0,6,9,0,0,390,141,225,18,15,3,0,9,6,0,6,423
"60950","Parklands","Parklands","Total","Total","Total",444,3030,663,126,138,0,99,60,0,48,4608,726,3063,624,138,135,0,129,54,0,48,4920
"Total","Total","Total","60950","Parklands","Parklands",444,471,93,18,15,0,18,45,0,6,1113,726,498,87,21,18,0,9,42,0,9,1410
"60960","Waimairi Beach","Waimairi Beach","Total","Total","Total",69,414,102,15,18,0,12,6,0,9,642,114,411,87,15,15,0,18,3,0,9,672
"Total","Total","Total","60960","Waimairi Beach","Waimairi Beach",69,42,39,3,3,0,0,0,0,0,156,114,48,24,6,3,0,0,3,0,0,198
"60970","Burwood","Burwood","Total","Total","Total",231,1674,351,54,84,0,66,33,0,30,2526,411,1815,342,69,93,3,75,39,0,33,2880
"Total","Total","Total","60970","Burwood","Burwood",231,984,63,15,24,0,66,33,0,12,1422,411,1401,84,27,24,0,75,48,0,15,2085
"60980","North Beach","North Beach","Total","Total","Total",150,1113,222,45,66,0,57,33,0,18,1698,258,1224,198,45,72,0,75,27,0,30,1929
"Total","Total","Total","60980","North Beach","North Beach",150,213,51,12,6,0,12,12,0,0,456,258,486,42,15,9,0,30,21,0,9,870
"60990","Shirley","Shirley","Total","Total","Total",264,1731,363,78,105,0,123,63,0,33,2757,390,1788,291,87,126,0,102,66,0,36,2883
"Total","Total","Total","60990","Shirley","Shirley",264,1155,126,84,132,0,51,90,0,21,1920,390,1242,81,105,135,0,51,78,0,33,2118
"61000","Avondale (Christchurch City)","Avondale (Christchurch City)","Total","Total","Total",78,708,156,42,30,0,27,18,0,9,1068,141,744,144,36,24,0,30,12,0,18,1149
"Total","Total","Total","61000","Avondale (Christchurch City)","Avondale (Christchurch City)",78,129,60,9,3,0,3,3,0,3,285,141,117,18,9,0,0,6,0,0,0,297
"61010","New Brighton","New Brighton","Total","Total","Total",444,2505,501,93,153,0,135,48,0,36,3918,636,2610,477,108,168,0,147,54,3,48,4248
"Total","Total","Total","61010","New Brighton","New Brighton",444,690,147,33,33,0,39,42,0,6,1437,636,798,126,45,21,0,39,48,0,6,1719
"61020","Aranui","Aranui","Total","Total","Total",159,1461,231,126,99,0,60,30,0,30,2199,207,1656,189,117,111,0,42,48,0,36,2403
"Total","Total","Total","61020","Aranui","Aranui",159,234,39,9,6,0,12,6,0,3,468,207,258,36,15,3,0,9,9,0,3,540
"61030","Dallington","Dallington","Total","Total","Total",90,594,117,39,42,0,51,24,3,12,966,138,651,96,30,42,0,54,21,0,9,1038
"Total","Total","Total","61030","Dallington","Dallington",90,138,33,9,6,0,6,6,0,0,291,138,90,18,0,3,0,9,0,0,0,258
"61040","Richmond (Christchurch City)","Richmond (Christchurch City)","Total","Total","Total",195,1209,192,60,120,0,135,99,0,24,2034,324,1368,192,51,126,0,186,87,0,48,2382
"Total","Total","Total","61040","Richmond (Christchurch City)","Richmond (Christchurch City)",195,591,87,24,33,0,33,36,0,3,1002,324,498,63,24,30,0,33,24,0,3,1008
"61050","Edgeware","Edgeware","Total","Total","Total",192,1410,171,66,129,0,153,108,0,24,2256,285,1587,147,60,147,3,174,114,0,57,2574
"Total","Total","Total","61050","Edgeware","Edgeware",192,243,72,9,18,0,21,15,0,3,567,285,264,36,18,15,0,15,18,0,6,651
"61060","Wainoni","Wainoni","Total","Total","Total",90,750,126,45,42,0,39,27,0,18,1140,150,810,105,48,51,0,36,21,0,18,1239
"Total","Total","Total","61060","Wainoni","Wainoni",90,816,237,63,45,0,39,48,0,15,1353,150,849,153,57,27,0,42,60,0,18,1359
"61070","Avonside","Avonside","Total","Total","Total",48,387,75,21,36,0,36,18,0,6,621,60,396,72,27,30,0,45,9,3,9,651
"Total","Total","Total","61070","Avonside","Avonside",48,222,15,3,3,0,9,12,0,3,315,60,126,6,9,3,0,6,3,0,3,216
"61080","Bromley","Bromley","Total","Total","Total",69,834,120,54,42,0,51,21,0,24,1212,114,885,114,60,48,0,60,24,0,21,1326
"Total","Total","Total","61080","Bromley","Bromley",69,1797,732,66,21,0,114,27,0,39,2868,114,1746,591,48,30,0,93,24,0,36,2682
"61090","Linwood","Linwood","Total","Total","Total",321,2556,318,174,318,0,231,198,0,66,4182,489,2652,315,180,300,0,297,192,0,102,4527
"Total","Total","Total","61090","Linwood","Linwood",321,1149,111,72,120,0,90,105,0,15,1986,489,963,81,84,81,0,60,78,0,27,1857
"61100","Banks Peninsula","Banks Peninsula","Total","Total","Total",639,927,216,39,6,0,24,135,6,21,2013,738,1092,225,39,9,0,21,102,0,21,2244
"Total","Total","Total","61100","Banks Peninsula","Banks Peninsula",639,489,105,27,3,0,21,126,0,9,1422,738,591,138,30,0,0,9,99,0,15,1620
"61110","Addington-Middleton","Addington-Middleton","Total","Total","Total",177,1470,144,96,159,0,261,267,0,30,2604,300,1575,123,90,159,0,285,273,0,87,2895
"Total","Total","Total","61110","Addington-Middleton","Addington-Middleton",177,12321,2736,483,501,0,1158,438,3,222,18045,300,11580,2661,417,417,0,1131,333,6,243,17097
"61120","Sydenham","Sydenham","Total","Total","Total",264,1716,231,87,162,0,291,186,0,42,2982,408,1776,225,96,180,0,348,192,0,75,3306
"Total","Total","Total","61120","Sydenham","Sydenham",264,5469,1809,252,297,3,483,264,0,93,8934,408,5025,1527,240,234,0,453,213,3,147,8250
"61130","Wigram","Wigram","Total","Total","Total",339,2460,378,120,105,0,114,66,0,42,3624,642,3153,384,147,198,3,144,99,0,48,4818
"Total","Total","Total","61130","Wigram","Wigram",339,807,81,75,54,0,27,30,0,12,1431,642,1314,114,84,54,0,39,54,0,15,2316
"61140","Hillmorton","Hillmorton","Total","Total","Total",126,864,156,33,51,0,72,60,0,12,1368,180,852,126,36,63,0,111,30,0,27,1428
"Total","Total","Total","61140","Hillmorton","Hillmorton",126,639,45,36,18,0,45,33,0,6,951,180,780,42,27,24,0,81,18,0,12,1161
"61150","Spreydon","Spreydon","Total","Total","Total",345,2523,414,135,165,3,450,195,0,54,4281,558,2547,327,114,213,0,573,174,0,81,4596
"Total","Total","Total","61150","Spreydon","Spreydon",345,1032,99,36,69,0,75,105,0,15,1776,558,1086,102,51,63,0,81,102,0,24,2070
"61160","Somerfield","Somerfield","Total","Total","Total",333,1746,282,75,105,0,381,117,0,36,3072,510,1683,246,78,126,0,480,114,3,45,3282
"Total","Total","Total","61160","Somerfield","Somerfield",333,711,96,39,30,0,54,75,0,6,1344,510,858,78,27,39,0,69,78,0,9,1665
"61170","Hoon Hay","Hoon Hay","Total","Total","Total",339,2430,444,135,129,0,264,75,3,36,3849,570,2454,420,132,150,0,387,60,0,72,4251
"Total","Total","Total","61170","Hoon Hay","Hoon Hay",339,582,105,45,21,0,30,39,0,6,1167,570,711,111,33,24,0,51,33,0,9,1539
"61180","Aidanfield","Aidanfield","Total","Total","Total",192,1083,222,45,51,0,60,21,3,15,1692,273,1161,195,54,42,0,81,15,0,15,1827
"Total","Total","Total","61180","Aidanfield","Aidanfield",192,393,24,21,30,0,18,18,0,6,708,273,429,24,21,21,0,18,12,0,3,804
"61190","Cashmere","Cashmere","Total","Total","Total",531,1701,363,69,66,0,345,39,0,27,3138,723,1719,291,75,84,0,459,54,0,33,3438
"Total","Total","Total","61190","Cashmere","Cashmere",531,648,90,18,33,0,60,51,0,6,1434,723,798,75,30,24,0,72,39,0,6,1770
"61200","Halswell","Halswell","Total","Total","Total",822,4500,996,177,246,0,258,75,0,63,7134,1476,6021,1044,228,324,3,384,81,0,96,9654
"Total","Total","Total","61200","Halswell","Halswell",822,1143,192,51,51,0,39,57,0,15,2373,1476,1410,252,63,48,0,63,69,0,18,3390
"61210","Westmorland","Westmorland","Total","Total","Total",183,618,123,24,24,0,78,6,0,21,1077,270,822,174,36,39,0,117,3,0,27,1479
"Total","Total","Total","61210","Westmorland","Westmorland",183,87,39,6,3,0,12,3,0,0,333,270,126,45,0,3,0,12,3,0,0,465
"61220","Waltham","Waltham","Total","Total","Total",126,1035,156,78,111,0,105,87,0,18,1719,249,1140,132,72,108,3,150,81,0,45,1980
"Total","Total","Total","61220","Waltham","Waltham",126,2742,900,126,102,0,192,102,0,69,4362,249,2763,894,87,99,0,198,99,0,63,4455
"61230","Phillipstown","Phillipstown","Total","Total","Total",141,1080,141,51,141,3,90,81,0,24,1746,195,1131,120,57,135,0,144,69,0,45,1899
"Total","Total","Total","61230","Phillipstown","Phillipstown",141,180,51,9,12,0,9,15,0,6,417,195,243,39,6,15,0,18,18,3,6,540
"61240","Woolston","Woolston","Total","Total","Total",375,2820,444,147,225,0,267,129,0,66,4473,561,2787,414,165,231,0,294,102,0,105,4656
"Total","Total","Total","61240","Woolston","Woolston",375,3348,726,150,141,0,222,99,3,54,5118,561,3738,798,168,135,0,198,90,0,75,5760
"61250","Brookhaven-Ferrymead","Brookhaven-Ferrymead","Total","Total","Total",63,294,75,9,15,0,24,9,0,12,501,78,333,72,12,24,0,27,12,0,9,567
"Total","Total","Total","61250","Brookhaven-Ferrymead","Brookhaven-Ferrymead",63,1083,192,45,69,3,66,24,3,18,1566,78,1209,207,54,57,0,78,27,3,18,1728
"61260","Opawa","Opawa","Total","Total","Total",78,306,60,18,15,0,75,15,0,9,570,129,288,54,12,18,0,90,9,0,12,615
"Total","Total","Total","61260","Opawa","Opawa",78,246,21,12,15,0,21,15,3,0,411,129,267,18,12,6,0,30,15,0,3,477
"61270","St Martins","St Martins","Total","Total","Total",138,678,150,30,42,0,162,48,0,15,1263,222,633,108,30,54,0,177,42,0,21,1287
"Total","Total","Total","61270","St Martins","St Martins",138,252,48,12,18,0,27,36,0,6,534,222,327,18,12,15,0,42,42,0,6,681
"61280","Hillsborough (Christchurch City)","Hillsborough (Christchurch City)","Total","Total","Total",153,633,132,27,24,0,120,9,0,12,1107,186,633,123,21,42,0,204,9,0,9,1230
"Total","Total","Total","61280","Hillsborough (Christchurch City)","Hillsborough (Christchurch City)",153,96,30,6,0,0,6,9,0,0,300,186,99,27,3,0,0,3,0,0,3,324
"61290","Mount Pleasant","Mount Pleasant","Total","Total","Total",273,1050,255,24,36,0,72,18,0,12,1737,465,1077,207,36,45,0,117,15,0,18,1983
"Total","Total","Total","61290","Mount Pleasant","Mount Pleasant",273,147,39,6,3,0,3,6,0,3,474,465,120,33,3,3,0,6,12,0,0,645
"61300","Redcliffs","Redcliffs","Total","Total","Total",156,528,120,18,18,0,48,15,0,15,912,237,543,99,21,27,0,66,12,0,21,1023
"Total","Total","Total","61300","Redcliffs","Redcliffs",156,195,57,6,9,0,6,21,0,6,459,237,159,24,6,3,0,6,9,0,3,447
"61310","Beckenham","Beckenham","Total","Total","Total",147,591,120,24,39,3,183,42,0,15,1158,201,516,108,21,27,0,243,39,0,18,1173
"Total","Total","Total","61310","Beckenham","Beckenham",147,231,36,6,12,0,12,24,0,3,468,201,195,24,3,6,0,12,9,0,0,453
"61320","Huntsbury","Huntsbury","Total","Total","Total",168,672,123,27,30,0,111,12,0,12,1152,264,714,123,30,30,0,204,21,0,21,1410
"Total","Total","Total","61320","Huntsbury","Huntsbury",168,66,24,3,6,0,0,0,3,0,273,264,81,21,3,3,0,18,9,0,0,405
"61330","Clifton-Sumner","Clifton-Sumner","Total","Total","Total",411,1395,300,36,78,0,102,57,0,24,2400,651,1401,282,39,87,0,156,72,0,24,2712
"Total","Total","Total","61330","Clifton-Sumner","Clifton-Sumner",411,450,84,12,33,0,21,51,0,6,1062,651,471,75,24,33,0,30,66,0,18,1371
"61340","Heathcote Valley","Heathcote Valley","Total","Total","Total",150,615,123,15,45,0,54,9,0,18,1026,204,633,132,24,33,0,72,15,0,18,1128
"Total","Total","Total","61340","Heathcote Valley","Heathcote Valley",150,153,39,9,9,0,9,6,0,3,378,204,162,30,12,15,0,9,6,0,6,441
"61350","Lyttelton","Lyttelton","Total","Total","Total",228,852,135,36,57,3,42,72,0,12,1437,366,909,105,42,72,3,39,96,0,24,1653
"Total","Total","Total","61350","Lyttelton","Lyttelton",228,714,108,6,24,0,15,63,9,15,1185,366,1011,138,30,18,0,21,93,9,27,1716
"61360","Diamond Harbour","Diamond Harbour","Total","Total","Total",129,399,78,12,21,0,12,18,27,6,702,195,399,72,15,33,0,9,15,24,9,777
"Total","Total","Total","61360","Diamond Harbour","Diamond Harbour",129,54,15,3,0,0,3,12,0,0,219,195,66,18,6,3,0,6,15,0,3,312
"61380","Selwyn District West","Selwyn District West","Total","Total","Total",591,708,174,42,0,0,6,57,0,45,1626,744,849,243,30,6,0,9,51,0,57,1983
"Total","Total","Total","61380","Selwyn District West","Selwyn District West",591,495,123,30,3,0,6,57,0,36,1338,744,639,171,27,0,0,12,48,0,54,1695
"61390","Darfield","Darfield","Total","Total","Total",468,1167,303,42,3,3,33,78,0,27,2127,636,1599,447,45,12,0,36,69,0,42,2886
