sa2_code,sa2_name,dhb,pop_cnt,dose1_cnt,dose2_cnt,dose1_uptake,dose2_uptake
208800,Flaxmere West,Hawke's Bay,1217,876,613, 720 , 504 
209000,Lochain Park,Hawke's Bay,1341,918,656, 685 , 489 
209100,Flaxmere Park,Hawke's Bay,1166,903,699, 774 , 599 
209200,Flaxmere South,Hawke's Bay,1229,868,650, 706 , 529 
209400,Frimley,Hawke's Bay,306,248,207, 810 , 676 
209500,Camberley,Hawke's Bay,925,657,470, 710 , 508 
209600,Clive,Hawke's Bay,347,277,237, 798 , 683 
209700,St Leonards,Hawke's Bay,468,350,287, 748 , 613 
209800,Mahora,Hawke's Bay,420,322,260, 767 , 619 
209900,Raureka,Hawke's Bay,706,517,376, 732 , 533 
210000,Cornwall Park,Hawke's Bay,579,442,350, 763 , 604 
210100,Tomoana,Hawke's Bay,120,88,71, 733 , 592 
210200,Longlands-Pukahu,Hawke's Bay,259,211,173, 815 , 668 
210300,Raceway Park,Hawke's Bay,345,266,205, 771 , 594 
210400,Karamu,Hawke's Bay,399,321,244, 805 , 612 
210500,Hastings Central,Hawke's Bay,96,74,55, 771 , 573 
210600,Tomoana Crossing,Hawke's Bay,493,374,301, 759 , 611 
210700,Akina Park,Hawke's Bay,482,366,303, 759 , 629 
210800,Queens Square,Hawke's Bay,315,271,220, 860 , 698 
210900,Mayfair,Hawke's Bay,854,607,460, 711 , 539 
211000,Parkhaven,Hawke's Bay,528,424,310, 803 , 587 
211100,Parkvale,Hawke's Bay,265,224,175, 845 , 660 
211200,Mangateretere,Hawke's Bay,93,75,60, 806 , 645 
211300,Haumoana-Te Awanga,Hawke's Bay,246,189,159, 768 , 646 
211400,Lucknow,Hawke's Bay,331,248,200, 749 , 604 
211500,Karanema-St Hill,Hawke's Bay,101,86,72, 851 , 713 
211700,Brookvale,Hawke's Bay,88,77,70, 875 , 795 
211800,Iona,Hawke's Bay,141,127,105, 901 , 745 
211900,Hereworth,Hawke's Bay,104,91,85, 875 , 817 
212100,Havelock Hills,Hawke's Bay,62,Masked,56, >950 , 903 
212200,Kahuranaki,Hawke's Bay,213,182,151, 854 , 709 
212300,Bay View,Hawke's Bay,283,225,193, 795 , 682 
212400,Poraiti Hills,Hawke's Bay,53,50,48, 943 , 906 
212500,Poraiti Flat,Hawke's Bay,87,Masked,77, >950 , 885 
212600,Westshore,Hawke's Bay,147,118,89, 803 , 605 
212900,Ahuriri,Hawke's Bay,109,79,59, 725 , 541 
213000,Taradale West,Hawke's Bay,103,85,76, 825 , 738 
213100,Greenmeadows West,Hawke's Bay,85,77,69, 906 , 812 
213200,Taradale South,Hawke's Bay,235,184,161, 783 , 685 
213300,Bluff Hill,Hawke's Bay,235,195,159, 830 , 677 
213400,Hospital Hill,Hawke's Bay,254,208,170, 819 , 669 
